"Year","Quarter","Origin","Commodity","Tons"
2022,3,"MEXICO-ARIZONA","Strawberries",194.469
2022,3,"MEXICO-CALIFORNIA","Strawberries",3629.2505
2022,3,"MEXICO-TEXAS","Strawberries",12.625
2022,3,"MEXICO-TOTAL","Strawberries",3836.3445
2022,4,"CALIFORNIA","Strawberries",94661.376
2022,4,"CANADA","Strawberries",567.842
2022,4,"FLORIDA","Strawberries",16588.624
2022,4,"MEXICO-ARIZONA","Strawberries",19.646
2022,4,"MEXICO-CALIFORNIA","Strawberries",2004.6565
2022,4,"MEXICO-TEXAS","Strawberries",48089.695
2022,4,"MEXICO-TOTAL","Strawberries",50113.9975
2023,1,"CALIFORNIA","Strawberries",32634.772
2023,1,"CANADA","Strawberries",765.95
2023,1,"FLORIDA","Strawberries",109975.432
2023,1,"MEXICO-ARIZONA","Strawberries",206.146
2023,1,"MEXICO-CALIFORNIA","Strawberries",45785.53
2023,1,"MEXICO-TEXAS","Strawberries",103905.7125
2023,1,"MEXICO-TOTAL","Strawberries",149897.3885
2023,1,"SOUTHEAST","Strawberries",279.358
2023,2,"CALIFORNIA","Strawberries",366530.488
2023,2,"CANADA","Strawberries",1508.996
2023,2,"FLORIDA","Strawberries",5077.284
2023,2,"MEXICO-ARIZONA","Strawberries",10.5415
2023,2,"MEXICO-CALIFORNIA","Strawberries",92907.9450000001
2023,2,"MEXICO-TEXAS","Strawberries",9740.0775
2023,2,"MEXICO-TOTAL","Strawberries",102658.564
2023,2,"SOUTHEAST","Strawberries",830.5
2023,3,"CALIFORNIA","Strawberries",327518.976
2023,3,"CANADA","Strawberries",1067.833
2023,3,"MEXICO-CALIFORNIA","Strawberries",5037.0295
2023,3,"MEXICO-TEXAS","Strawberries",3.2935
2023,3,"MEXICO-TOTAL","Strawberries",5040.323
2023,4,"CALIFORNIA","Strawberries",152597.544
2023,4,"CANADA","Strawberries",1019.7075
2023,4,"FLORIDA","Strawberries",19527.724
2023,4,"MEXICO-ARIZONA","Strawberries",12.4585
2023,4,"MEXICO-CALIFORNIA","Strawberries",2996
2023,4,"MEXICO-TEXAS","Strawberries",34055.681
2023,4,"MEXICO-TOTAL","Strawberries",37064.1395
2024,1,"CALIFORNIA","Strawberries",72157.104
2024,1,"CANADA","Strawberries",1328.4785
2024,1,"FLORIDA","Strawberries",107000.364
2024,1,"MEXICO-CALIFORNIA","Strawberries",52751.3535
2024,1,"MEXICO-TEXAS","Strawberries",110024.285
2024,1,"MEXICO-TOTAL","Strawberries",162775.6385
2024,1,"SOUTHEAST","Strawberries",106.964
2024,2,"CALIFORNIA","Strawberries",424044.348
2024,2,"CANADA","Strawberries",1518.5805
2024,2,"FLORIDA","Strawberries",455.888
2024,2,"MEXICO-CALIFORNIA","Strawberries",48408.499
2024,2,"MEXICO-TEXAS","Strawberries",4456.861
2024,2,"MEXICO-TOTAL","Strawberries",52865.36
2024,2,"SOUTHEAST","Strawberries",2435.928
2024,3,"CALIFORNIA","Strawberries",331609.432
2024,3,"CANADA","Strawberries",1145.2815
2024,3,"MEXICO-CALIFORNIA","Strawberries",3291.669
2024,3,"MEXICO-TEXAS","Strawberries",0.683
2024,3,"MEXICO-TOTAL","Strawberries",3292.352
2024,4,"CALIFORNIA","Strawberries",157815.188
2024,4,"CANADA","Strawberries",778.9315
2024,4,"FLORIDA","Strawberries",19380.308
2024,4,"MEXICO-CALIFORNIA","Strawberries",3924.9595
2024,4,"MEXICO-TEXAS","Strawberries",43122.681
2024,4,"MEXICO-TOTAL","Strawberries",47047.6405
2025,1,"CALIFORNIA","Strawberries",73373.184
2025,1,"CANADA","Strawberries",1156.5005
2025,1,"FLORIDA","Strawberries",118997.056
2025,1,"MEXICO-ARIZONA","Strawberries",0.0025
2025,1,"MEXICO-CALIFORNIA","Strawberries",53909.381
2025,1,"MEXICO-TEXAS","Strawberries",128283.8315
2025,1,"MEXICO-TOTAL","Strawberries",182193.215
2025,1,"OTHER","Strawberries",2.8755
