"Year","Quarter","Origin","Commodity","Tons"
2004,2,"MEXICO-ARIZONA","Strawberries",213.9275
2004,2,"MEXICO-CALIFORNIA","Strawberries",20170.8245
2004,2,"MEXICO-TEXAS","Strawberries",650.5515
2004,2,"MEXICO-TOTAL","Strawberries",21035.3035
2004,2,"SOUTHEAST","Strawberries",686.836
2004,3,"CALIFORNIA","Strawberries",137668.064
2004,3,"MEXICO-CALIFORNIA","Strawberries",1124.113
2004,3,"MEXICO-TEXAS","Strawberries",299.6875
2004,3,"MEXICO-TOTAL","Strawberries",1423.8005
2004,4,"CALIFORNIA","Strawberries",38914.384
2004,4,"FLORIDA","Strawberries",4840.59
2004,4,"MEXICO-ARIZONA","Strawberries",1108.137
2004,4,"MEXICO-CALIFORNIA","Strawberries",760.9935
2004,4,"MEXICO-TEXAS","Strawberries",1385.3505
2004,4,"MEXICO-TOTAL","Strawberries",3254.481
2005,1,"CALIFORNIA","Strawberries",98790.736
2005,1,"FLORIDA","Strawberries",39015.428
2005,1,"MEXICO-ARIZONA","Strawberries",4407.0465
2005,1,"MEXICO-CALIFORNIA","Strawberries",19180.9595
2005,1,"MEXICO-TEXAS","Strawberries",4634.3855
2005,1,"MEXICO-TOTAL","Strawberries",28222.3915
2005,2,"CALIFORNIA","Strawberries",288466.036
2005,2,"FLORIDA","Strawberries",792.472
2005,2,"MEXICO-ARIZONA","Strawberries",143.6065
2005,2,"MEXICO-CALIFORNIA","Strawberries",23466.792
2005,2,"MEXICO-TEXAS","Strawberries",1191.0035
2005,2,"MEXICO-TOTAL","Strawberries",24801.402
2005,2,"SOUTHEAST","Strawberries",945.792
2005,3,"CALIFORNIA","Strawberries",150005.862
2005,3,"MEXICO-CALIFORNIA","Strawberries",2072.6565
2005,3,"MEXICO-TEXAS","Strawberries",125.925
2005,3,"MEXICO-TOTAL","Strawberries",2198.5815
2005,4,"CALIFORNIA","Strawberries",60594.872
2005,4,"FLORIDA","Strawberries",4926.784
2005,4,"MEXICO-ARIZONA","Strawberries",933.244
2005,4,"MEXICO-CALIFORNIA","Strawberries",1916.0445
2005,4,"MEXICO-TEXAS","Strawberries",1882.4225
2005,4,"MEXICO-TOTAL","Strawberries",4731.711
2006,1,"CALIFORNIA","Strawberries",90375.426
2006,1,"FLORIDA","Strawberries",59015.012
2006,1,"MEXICO-ARIZONA","Strawberries",5554.6495
2006,1,"MEXICO-CALIFORNIA","Strawberries",12641.322
2006,1,"MEXICO-TEXAS","Strawberries",3303.7865
2006,1,"MEXICO-TOTAL","Strawberries",21499.758
2006,2,"CALIFORNIA","Strawberries",283290.098
2006,2,"FLORIDA","Strawberries",2160.26
2006,2,"MEXICO-ARIZONA","Strawberries",1121.571
2006,2,"MEXICO-CALIFORNIA","Strawberries",25710.258
2006,2,"MEXICO-TEXAS","Strawberries",14.818
2006,2,"MEXICO-TOTAL","Strawberries",26846.647
2006,2,"SOUTHEAST","Strawberries",912.848
2006,3,"CALIFORNIA","Strawberries",172264.904
2006,3,"MEXICO-CALIFORNIA","Strawberries",1576.828
2006,3,"MEXICO-TEXAS","Strawberries",100.3255
2006,3,"MEXICO-TOTAL","Strawberries",1677.1535
2006,4,"CALIFORNIA","Strawberries",58016.376
2006,4,"FLORIDA","Strawberries",11046.836
2006,4,"MEXICO-ARIZONA","Strawberries",1442.007
2006,4,"MEXICO-CALIFORNIA","Strawberries",2116.9225
2006,4,"MEXICO-TEXAS","Strawberries",2655.6915
2006,4,"MEXICO-TOTAL","Strawberries",6214.621
2007,1,"CALIFORNIA","Strawberries",59945.492
2007,1,"CANADA","Strawberries",0.559
2007,1,"FLORIDA","Strawberries",62056.632
2007,1,"MEXICO-ARIZONA","Strawberries",4703.208
2007,1,"MEXICO-CALIFORNIA","Strawberries",12459.8735
2007,1,"MEXICO-TEXAS","Strawberries",5216.84
2007,1,"MEXICO-TOTAL","Strawberries",22379.9215
2007,2,"CALIFORNIA","Strawberries",285405.926
2007,2,"CANADA","Strawberries",0.3995
2007,2,"FLORIDA","Strawberries",2135.612
2007,2,"MEXICO-ARIZONA","Strawberries",167.566
2007,2,"MEXICO-CALIFORNIA","Strawberries",5303.951
2007,2,"MEXICO-TOTAL","Strawberries",5471.517
2007,2,"SOUTHEAST","Strawberries",917.516
2007,3,"CALIFORNIA","Strawberries",192103.402
2007,3,"MEXICO-CALIFORNIA","Strawberries",38.467
2007,3,"MEXICO-TOTAL","Strawberries",38.467
2007,4,"CALIFORNIA","Strawberries",64784.8799999999
2007,4,"FLORIDA","Strawberries",12476.652
2007,4,"MEXICO-ARIZONA","Strawberries",1898.543
2007,4,"MEXICO-CALIFORNIA","Strawberries",442.451
2007,4,"MEXICO-TEXAS","Strawberries",5189.686
2007,4,"MEXICO-TOTAL","Strawberries",7530.68
2008,1,"CALIFORNIA","Strawberries",69539.25
2008,1,"FLORIDA","Strawberries",55876.912
2008,1,"MEXICO-ARIZONA","Strawberries",3409.0265
2008,1,"MEXICO-CALIFORNIA","Strawberries",15181.875
2008,1,"MEXICO-TEXAS","Strawberries",6069.0175
2008,1,"MEXICO-TOTAL","Strawberries",24659.919
2008,1,"SOUTHEAST","Strawberries",2.404
2008,2,"CALIFORNIA","Strawberries",295700.614
2008,2,"FLORIDA","Strawberries",449.41
2008,2,"MEXICO-CALIFORNIA","Strawberries",4289.0385
2008,2,"MEXICO-TOTAL","Strawberries",4289.0385
2008,2,"SOUTHEAST","Strawberries",1332.172
2008,3,"CALIFORNIA","Strawberries",200255.556
2008,4,"CALIFORNIA","Strawberries",67567.246
2008,4,"FLORIDA","Strawberries",8211.3185
2008,4,"MEXICO-ARIZONA","Strawberries",1017.08
2008,4,"MEXICO-CALIFORNIA","Strawberries",1122.267
2008,4,"MEXICO-TEXAS","Strawberries",7964.051
2008,4,"MEXICO-TOTAL","Strawberries",10103.398
2009,1,"CALIFORNIA","Strawberries",88515.208
2009,1,"FLORIDA","Strawberries",71662.864
2009,1,"MEXICO-ARIZONA","Strawberries",4405.687
2009,1,"MEXICO-CALIFORNIA","Strawberries",21409.476
2009,1,"MEXICO-TEXAS","Strawberries",11666.202
2009,1,"MEXICO-TOTAL","Strawberries",37481.365
2009,2,"CALIFORNIA","Strawberries",337086.448
2009,2,"FLORIDA","Strawberries",564.98
2009,2,"MEXICO-CALIFORNIA","Strawberries",8841.4325
2009,2,"MEXICO-TOTAL","Strawberries",8841.4325
2009,2,"SOUTHEAST","Strawberries",895.908000000001
2009,3,"CALIFORNIA","Strawberries",218790.678
2009,3,"CANADA","Strawberries",1.4435
2009,4,"CALIFORNIA","Strawberries",68125.39
2009,4,"FLORIDA","Strawberries",9345.756
2009,4,"MEXICO-ARIZONA","Strawberries",614.608
2009,4,"MEXICO-CALIFORNIA","Strawberries",957.593
2009,4,"MEXICO-TEXAS","Strawberries",10019.037
2009,4,"MEXICO-TOTAL","Strawberries",11591.238
2010,1,"CALIFORNIA","Strawberries",91353.814
2010,1,"FLORIDA","Strawberries",55825.554
2010,1,"MEXICO-ARIZONA","Strawberries",3879.662
2010,1,"MEXICO-CALIFORNIA","Strawberries",21929.833
2010,1,"MEXICO-TEXAS","Strawberries",17319.2005
2010,1,"MEXICO-TOTAL","Strawberries",43128.6955
2010,2,"CALIFORNIA","Strawberries",344164.104
2010,2,"FLORIDA","Strawberries",6653.882
2010,2,"MEXICO-CALIFORNIA","Strawberries",9206.9715
2010,2,"MEXICO-TEXAS","Strawberries",293.792
2010,2,"MEXICO-TOTAL","Strawberries",9500.7635
2010,2,"SOUTHEAST","Strawberries",1244.066
2010,3,"CALIFORNIA","Strawberries",238170.936
2010,3,"CANADA","Strawberries",0.515
2010,4,"CALIFORNIA","Strawberries",66367.632
2010,4,"FLORIDA","Strawberries",4486.906
2010,4,"MEXICO-ARIZONA","Strawberries",673.2755
2010,4,"MEXICO-CALIFORNIA","Strawberries",392.4945
2010,4,"MEXICO-TEXAS","Strawberries",10095.0925
2010,4,"MEXICO-TOTAL","Strawberries",11160.8625
2011,1,"CALIFORNIA","Strawberries",67043.484
2011,1,"FLORIDA","Strawberries",80313.286
2011,1,"MEXICO-ARIZONA","Strawberries",1723.0085
2011,1,"MEXICO-CALIFORNIA","Strawberries",24084.6985
2011,1,"MEXICO-TEXAS","Strawberries",20428.395
2011,1,"MEXICO-TOTAL","Strawberries",46236.102
2011,2,"CALIFORNIA","Strawberries",346116.288
2011,2,"FLORIDA","Strawberries",431.964
2011,2,"MEXICO-CALIFORNIA","Strawberries",19154.098
2011,2,"MEXICO-TEXAS","Strawberries",126.8545
2011,2,"MEXICO-TOTAL","Strawberries",19280.9525
2011,2,"SOUTHEAST","Strawberries",1090.772
2011,3,"CALIFORNIA","Strawberries",240847.082
2011,3,"CANADA","Strawberries",33.418
2011,4,"CALIFORNIA","Strawberries",72374.252
2011,4,"CANADA","Strawberries",1.177
2011,4,"FLORIDA","Strawberries",18317.528
2011,4,"MEXICO-ARIZONA","Strawberries",1259.2545
2011,4,"MEXICO-CALIFORNIA","Strawberries",362.659
2011,4,"MEXICO-TEXAS","Strawberries",15921.777
2011,4,"MEXICO-TOTAL","Strawberries",17543.6905
2012,1,"CALIFORNIA","Strawberries",92671.978
2012,1,"FLORIDA","Strawberries",84490.166
2012,1,"MEXICO-ARIZONA","Strawberries",2250.7835
2012,1,"MEXICO-CALIFORNIA","Strawberries",33867.0555
2012,1,"MEXICO-TEXAS","Strawberries",25824.3205
2012,1,"MEXICO-TOTAL","Strawberries",61942.1595
2012,1,"SOUTHEAST","Strawberries",3.456
2012,2,"CALIFORNIA","Strawberries",353265.49
2012,2,"CANADA","Strawberries",14.29
2012,2,"FLORIDA","Strawberries",2.448
2012,2,"MEXICO-CALIFORNIA","Strawberries",24161.9995
2012,2,"MEXICO-TEXAS","Strawberries",503.928
2012,2,"MEXICO-TOTAL","Strawberries",24665.9275
2012,2,"SOUTHEAST","Strawberries",1483.352
2012,3,"CALIFORNIA","Strawberries",246729.404
2012,3,"CANADA","Strawberries",30.5085
2012,4,"CALIFORNIA","Strawberries",78668.288
2012,4,"FLORIDA","Strawberries",15926.844
2012,4,"MEXICO-ARIZONA","Strawberries",1149.0565
2012,4,"MEXICO-CALIFORNIA","Strawberries",620.1105
2012,4,"MEXICO-TEXAS","Strawberries",18961.4645
2012,4,"MEXICO-TOTAL","Strawberries",20730.6315
2013,1,"CALIFORNIA","Strawberries",92378.734
2013,1,"FLORIDA","Strawberries",106607.186
2013,1,"MEXICO-ARIZONA","Strawberries",3971.1925
2013,1,"MEXICO-CALIFORNIA","Strawberries",27872.9035
2013,1,"MEXICO-TEXAS","Strawberries",31145.8955
2013,1,"MEXICO-TOTAL","Strawberries",62989.9915
2013,2,"CALIFORNIA","Strawberries",366915.836
2013,2,"CANADA","Strawberries",0.2475
2013,2,"FLORIDA","Strawberries",164.132
2013,2,"MEXICO-CALIFORNIA","Strawberries",12367.195
2013,2,"MEXICO-TEXAS","Strawberries",228.9945
2013,2,"MEXICO-TOTAL","Strawberries",12596.1895
2013,2,"SOUTHEAST","Strawberries",1582.136
2013,3,"CALIFORNIA","Strawberries",241315.226
2013,3,"CANADA","Strawberries",3.414
2013,4,"CALIFORNIA","Strawberries",94389.3399999999
