Year,Quarter,Origin,Commodity,Tons
2000,1,MEXICO-ARIZONA,"Tomatoes, Plum Type",90827.734
2000,1,MEXICO-ARIZONA,Squash,79349.699
2000,1,MEXICO-ARIZONA,Cantaloupes,39835.1345
2000,1,MEXICO-ARIZONA,Watermelons,34928.6385
2000,1,MEXICO-ARIZONA,"Corn, Sweet",25336.0095
2000,1,MEXICO-ARIZONA,Eggplant,22912.075
2000,1,MEXICO-ARIZONA,"Onions, Green",16186.0105
2000,1,MEXICO-ARIZONA,"Peppers, Other",15803.235
2000,1,MEXICO-ARIZONA,Asparagus,13179.9295
2000,1,MEXICO-ARIZONA,Beans,12724.367
2000,1,MEXICO-ARIZONA,Honeydews,11903.2845
2000,1,MEXICO-ARIZONA,"Tomatoes, Cherry",11736.7315
2000,1,MEXICO-ARIZONA,Miscellaneous Asian Vegetables,7690.837
2000,1,MEXICO-ARIZONA,Broccoli,6940.598
2000,1,MEXICO-ARIZONA,Celery,6705.426
2000,1,MEXICO-ARIZONA,Oranges,6181.7735
2000,1,MEXICO-ARIZONA,Tomatillos,4493.5485
2000,1,MEXICO-ARIZONA,Mangoes,4439.9145
2000,1,MEXICO-ARIZONA,Radishes,3861.8455
2000,1,MEXICO-ARIZONA,"Lettuce, Iceberg",3711.3625
2000,1,MEXICO-ARIZONA,Cabbage,3257.006
2000,1,MEXICO-ARIZONA,"Onions, Dry",2942.304
2000,1,MEXICO-ARIZONA,Long Beans,2155.465
2000,1,MEXICO-ARIZONA,Bitter Melon,1895.698
2000,1,MEXICO-ARIZONA,"Greens, Kale",1577.4645
2000,1,MEXICO-ARIZONA,Limes,1419.402
2000,1,MEXICO-ARIZONA,Leeks,1304.3535
2000,1,MEXICO-ARIZONA,Parsley,1100.125
2000,1,MEXICO-ARIZONA,Spinach,1051.938
2000,1,MEXICO-ARIZONA,Papaya,847.5555
2000,1,MEXICO-ARIZONA,Miscellaneous Herbs,825.3465
2000,1,MEXICO-ARIZONA,"Peas, Green",779.9075
2000,1,MEXICO-ARIZONA,Raspberries,580.041
2000,1,MEXICO-ARIZONA,Chayote,440.4585
2000,1,MEXICO-ARIZONA,Blackberries,421.545
2000,1,MEXICO-ARIZONA,Carrots,367.171
2000,1,MEXICO-ARIZONA,Beets,339.169
2000,1,MEXICO-ARIZONA,"Greens, Swiss Chard",194.6325
2000,1,MEXICO-ARIZONA,Tamarind,173.2465
2000,1,MEXICO-ARIZONA,Mixed And Misc Melons,148.742
2000,1,MEXICO-ARIZONA,"Peas, Snow",142.6175
2000,1,MEXICO-ARIZONA,Jicama,137.1625
2000,1,MEXICO-ARIZONA,Artichokes,136.66
2000,1,MEXICO-ARIZONA,"Greens, Collard",90.8025
2000,1,MEXICO-ARIZONA,Strawberries,86.251
2000,1,MEXICO-ARIZONA,"Greens, Mustard",84.08
2000,1,MEXICO-ARIZONA,Chives,50.673
2000,1,MEXICO-ARIZONA,"Greens, Broccoli Rabe (Rappini)",49.951
2000,1,MEXICO-ARIZONA,Bananas,44.485
2000,1,MEXICO-ARIZONA,"Lettuce, Red Leaf",41.327
2000,1,MEXICO-ARIZONA,Turnips,39.6605
2000,1,MEXICO-ARIZONA,Pineapples,28.7405
2000,1,MEXICO-ARIZONA,Okra,27.456
2000,1,MEXICO-ARIZONA,Garlic,20.001
2000,1,MEXICO-ARIZONA,Endive,18.496
2000,1,MEXICO-ARIZONA,Tangelos,18.3185
2000,1,MEXICO-ARIZONA,Tangerines,18.317
2000,1,MEXICO-ARIZONA,Miscellaneous Citrus,14.63
2000,1,MEXICO-ARIZONA,Cactus Leaf (Nopales),12.7225
2000,1,MEXICO-ARIZONA,Cilantro,12.242
2000,1,MEXICO-ARIZONA,Cauliflower,12.199
2000,1,MEXICO-ARIZONA,Greens,11.175
2000,1,MEXICO-ARIZONA,Escarole,10.117
2000,1,MEXICO-ARIZONA,Peaches,5.5
2000,1,MEXICO-ARIZONA,"Lettuce, Boston",3.696
2000,1,MEXICO-ARIZONA,Brussels Sprouts,3.1305
2000,1,MEXICO-ARIZONA,Arugula,2.311
2000,1,MEXICO-ARIZONA,Chinese Cabbage,1.8755
2000,1,MEXICO-ARIZONA,"Greens, Turnip Tops",1.5785
2000,1,MEXICO-ARIZONA,Bok Choy,1.5555
2000,1,MEXICO-ARIZONA,Cactus Pears,1.518
2000,1,MEXICO-ARIZONA,Grapefruit,1.145
2000,1,MEXICO-ARIZONA,"Peas, Other",0.9065
2000,1,MEXICO-ARIZONA,Mint,0.865
2000,1,MEXICO-ARIZONA,Dill,0.8555
